	ERK100/adap_adap_multi/pathway_activity_testset.csv	ERK100/adap_multi/pathway_activity_testset.csv	ERK100/nonadap_multi/pathway_activity_testset.csv	ERK150/adap_adap_multi/pathway_activity_testset.csv	ERK150/adap_multi/pathway_activity_testset.csv	ERK150/nonadap_multi/pathway_activity_testset.csv	ERK200/adap_adap_multi/pathway_activity_testset.csv	ERK200/adap_multi/pathway_activity_testset.csv	ERK200/nonadap_multi/pathway_activity_testset.csv	ERK25/adap_adap_multi/pathway_activity_testset.csv	ERK25/adap_multi/pathway_activity_testset.csv	ERK25/nonadap_multi/pathway_activity_testset.csv	ERK250/adap_adap_multi/pathway_activity_testset.csv	ERK250/adap_multi/pathway_activity_testset.csv	ERK250/nonadap_multi/pathway_activity_testset.csv	ERK50/adap_adap_multi/pathway_activity_testset.csv	ERK50/adap_multi/pathway_activity_testset.csv	ERK50/nonadap_multi/pathway_activity_testset.csv	ERK75/adap_adap_multi/pathway_activity_testset.csv	ERK75/adap_multi/pathway_activity_testset.csv	ERK75/nonadap_multi/pathway_activity_testset.csv
ERK25/nonadap_multi/pathway_activity_testset.csv	0.819191919191919	0.936075036075036	0.937012987012987	-0.82987012987013	0.887373737373737	0.886796536796537	0.831601731601732	0.891774891774892	0.890764790764791	0.831818181818182	0.994588744588744	1	0.823953823953824	0.841414141414141	0.845887445887446	0.863492063492063	0.948051948051948	0.948556998556998	0.816450216450216	0.944949494949495	0.943217893217893
ERK250/adap_adap_multi/pathway_activity_testset.csv	0.979148629148629	0.798989898989899	0.796825396825397	-0.987229437229437	0.685064935064935	0.683477633477633	0.995454545454545	0.74978354978355	0.747619047619048	0.942929292929293	0.828499278499278	0.823953823953824	1	0.652597402597403	0.656709956709957	0.944805194805195	0.852020202020202	0.853607503607503	0.972582972582972	0.800937950937951	0.794444444444444
ERK250/adap_multi/pathway_activity_testset.csv	0.642135642135642	0.894155844155844	0.895021645021645	-0.661904761904762	0.952308802308802	0.952741702741703	0.664357864357864	0.956565656565656	0.957720057720058	0.623088023088023	0.853968253968254	0.841414141414141	0.652597402597403	1	0.999494949494949	0.690909090909091	0.842712842712843	0.833044733044733	0.635497835497835	0.884271284271284	0.883982683982684
ERK250/nonadap_multi/pathway_activity_testset.csv	0.646681096681097	0.898701298701299	0.899567099567099	-0.666522366522367	0.955266955266955	0.955699855699856	0.668181818181818	0.957720057720058	0.958874458874459	0.627994227994228	0.859163059163059	0.845887445887446	0.656709956709957	0.999494949494949	1	0.695598845598846	0.848340548340548	0.838961038961039	0.64025974025974	0.889177489177489	0.888744588744589
ERK50/adap_adap_multi/pathway_activity_testset.csv	0.961616161616161	0.843362193362193	0.840981240981241	-0.961832611832612	0.747041847041847	0.745310245310245	0.951875901875902	0.803968253968254	0.802453102453102	0.957575757575758	0.871212121212121	0.863492063492063	0.944805194805195	0.690909090909091	0.695598845598846	1	0.88968253968254	0.888167388167388	0.961688311688312	0.853679653679654	0.847763347763348
ERK50/adap_multi/pathway_activity_testset.csv	0.8497113997114	0.956421356421356	0.956709956709957	-0.861688311688312	0.87965367965368	0.878787878787879	0.859163059163059	0.90007215007215	0.899134199134199	0.839466089466089	0.957503607503607	0.948051948051948	0.852020202020202	0.842712842712843	0.848340548340548	0.88968253968254	1	0.998917748917749	0.840764790764791	0.970995670995671	0.966378066378066
ERK50/nonadap_multi/pathway_activity_testset.csv	0.850649350649351	0.955122655122655	0.955122655122655	-0.862193362193362	0.873809523809524	0.873015873015873	0.86060606060606	0.891414141414141	0.89033189033189	0.839105339105339	0.956854256854257	0.948556998556998	0.853607503607503	0.833044733044733	0.838961038961039	0.888167388167388	0.998917748917749	1	0.840620490620491	0.96976911976912	0.965728715728716
ERK75/adap_adap_multi/pathway_activity_testset.csv	0.993867243867244	0.794588744588745	0.792929292929293	-0.988816738816739	0.675757575757576	0.674170274170274	0.976334776334776	0.739321789321789	0.737445887445887	0.964862914862915	0.822799422799423	0.816450216450216	0.972582972582972	0.635497835497835	0.64025974025974	0.961688311688312	0.840764790764791	0.840620490620491	1	0.804040404040404	0.799134199134199
ERK75/adap_multi/pathway_activity_testset.csv	0.811038961038961	0.991558441558442	0.991630591630592	-0.81969696969697	0.938672438672439	0.937950937950938	0.814574314574315	0.937157287157287	0.937157287157287	0.803751803751804	0.953391053391053	0.944949494949495	0.800937950937951	0.884271284271284	0.889177489177489	0.853679653679654	0.970995670995671	0.96976911976912	0.804040404040404	1	0.998917748917749
ERK75/nonadap_multi/pathway_activity_testset.csv	0.806637806637807	0.991558441558442	0.991702741702742	-0.814790764790765	0.939321789321789	0.938744588744589	0.808585858585859	0.934632034632035	0.934343434343434	0.796681096681097	0.94978354978355	0.943217893217893	0.794444444444444	0.883982683982684	0.888744588744589	0.847763347763348	0.966378066378066	0.965728715728716	0.799134199134199	0.998917748917749	1
