	A_no_bat_NonAdap	A_no_bat_Adap	A_combat_cov_NonAdap	A_combat_cov_adap	A_combat_wo_cov_NonAdap	A_combat_wo_cov_adap	A_combat_wo_cov_NonAdap_nofilter	A_combat_wo_cov_adap_no_filter	B_dwd_bild_f	B_dwd_bild	B_combat_wo_cov_f	B_combat_cov_f	A_dwd_bild_NonAdaptive_f	A_dwd_bild_Adaptive_f
TCGA-E2-A14Y-01A-21R-A12D-07	0.249695055	0.186216876	0.044234863	0.376112668	0.344962265	0.335035088	0.327810755	0.297807408	0.2253706	0.2251357	0.6232306	0.556288	0.015995108	0.073346637
TCGA-E2-A14Z-01A-11R-A115-07	0.279532816	0.217845521	0.10510624	0.482526549	0.244687094	0.24560163	0.272858079	0.274468577	0.0344368	0.0338818	0.2834833	0.0840765	0.03690333	0.300450626
TCGA-E2-A150-01A-11R-A12D-07	0.323998478	0.339484769	0.051381459	0.383998544	0.313055216	0.31270465	0.324919661	0.291253675	0.0324826	0.0322617	0.595011	0.1174018	0.034402322	0.280806919
TCGA-E2-A152-01A-11R-A12D-07	0.838200121	0.811313663	0.179544764	0.541439301	0.459826002	0.452655001	0.430605297	0.411510458	0.8447151	0.8449245	0.8517292	0.8170275	0.228524457	0.681627215
TCGA-E2-A153-01A-12R-A12D-07	0.613559897	0.542727154	0.125321819	0.466551817	0.461245983	0.466248112	0.439633548	0.447154179	0.1364875	0.1348843	0.738603	0.2146397	0.107922718	0.478078631
TCGA-E2-A154-01A-11R-A115-07	0.66958651	0.582569061	0.145072128	0.472934005	0.346716015	0.321105655	0.330842568	0.333991299	0.1216725	0.1207178	0.5534676	0.1521332	0.142851414	0.558096353
TCGA-E2-A155-01A-11R-A12D-07	0.692608605	0.626594167	0.179345031	0.502634321	0.264456019	0.252959451	0.294649442	0.300278216	0.3964479	0.3938358	0.7018915	0.1703167	0.172010186	0.59802387
TCGA-E2-A156-01A-11R-A12D-07	0.600642539	0.444094211	0.14605817	0.460661474	0.177877455	0.16016161	0.228544732	0.231699472	0.0943089	0.0929874	0.3519271	0.0976246	0.082735818	0.486852436
TCGA-E2-A158-01A-11R-A12D-07	0.631895876	0.484999978	0.039784809	0.345496659	0.317217324	0.289483063	0.322984163	0.306838956	0.2135973	0.2108004	0.7358064	0.3464291	0.123255907	0.549294266
TCGA-E2-A159-01A-11R-A115-07	0.177238692	0.255287532	0.019143305	0.240425137	0.309153314	0.280572168	0.298681479	0.276227486	0.0498086	0.0489263	0.6637797	0.1041477	0.018496931	0.075292603
TCGA-E2-A15A-01A-11R-A12D-07	0.496872839	0.366458999	0.137823346	0.477649532	0.323283182	0.357129795	0.350826133	0.347612617	0.2215779	0.2187734	0.7185715	0.1075728	0.06452465	0.425837834
TCGA-E2-A15A-06A-11R-A12D-07	0.42050213	0.320587552	0.168395639	0.513793231	0.224569608	0.261960386	0.287621613	0.274931698	0.2490103	0.2467983	0.6532891	0.0870928	0.083306527	0.457434589
TCGA-E2-A15C-01A-31R-A12D-07	0.413929846	0.334349185	0.130070092	0.478026257	0.323734316	0.303672141	0.331804161	0.3428196	0.0748971	0.0741043	0.4930427	0.0941129	0.074011263	0.41796574
TCGA-E2-A15D-01A-11R-A115-07	0.422671289	0.373761175	0.078800216	0.401481588	0.308346322	0.297819651	0.282467633	0.312602095	0.0776582	0.0773312	0.5548606	0.0794001	0.055109315	0.392239097
TCGA-E2-A15E-01A-11R-A12D-07	0.558122797	0.468235356	0.046695529	0.419029808	0.413177929	0.379372589	0.396287999	0.433953786	0.2392061	0.238825	0.5108295	0.1910951	0.049932353	0.389852706
TCGA-E2-A15E-06A-11R-A12D-07	0.402032155	0.294870684	0.147956666	0.504511002	0.183100391	0.169953312	0.247826989	0.230646481	0.3172348	0.3145656	0.5917481	0.1370543	0.08280105	0.43030886
TCGA-E2-A15F-01A-11R-A115-07	0.363603644	0.208235765	0.099196903	0.45312309	0.299661648	0.301532215	0.293467528	0.303796186	0.0524092	0.0521008	0.4899375	0.1174119	0.037107896	0.26108526
TCGA-E2-A15G-01A-11R-A12D-07	0.547049983	0.401658229	0.118454053	0.466209546	0.24216425	0.220168492	0.269212007	0.277983291	0.0921406	0.0906835	0.4856186	0.0949183	0.087193872	0.463560984
